imageID	platePosition	condition	drugID	Product.Name	Class	Targets	medianIC50..nM.	InfoFromSelleckchem	GeneSymbolList	confluency	percentBlebbing	percentBeating_coldVideos_old	percentBeating_newVideos_newBatchSameDrug	manualInclude	notes_coldVideos_old	notes_newVideos_newBatchSameDrug
1	G_11	d41	d41	PF-573228	kinase	FAK	4	"PF-573228 is an ATP-competitive inhibitor of FAK with IC50 of 4 nM, ~50- to 250-fold selective for FAK than Pyk2, CDK1/7 and GSK-3Î²."	PTK2^CDK1^CDK7^GSK3A^GSK3B^PTK2B	0.95	0.4	0.5	0.5	1	looks ok	some medium blebs but overall fine
2	G_10	d56	d56	RKI-1447	kinase	ROCK	10	"RKI-1447 is a potent inhibitor of ROCK1 and ROCK2, with IC50 of 14.5 nM and 6.2 nM, respectively, has anti-invasive and antitumor activities."	ROCK1^ROCK2	1	0.5	0	0.4	1	no beating but cells look ok-ish	some patches of cells pulling apart from each other and small blebs but overall ok
3	G_9	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.3	0.5	0.6	1	looks ok with patches of medium blebs	one patch of low confluency but good
4	G_8	d40	d40	AEE788 (NVP-AEE788)	kinase	"HER2,VEGFR,EGFR"	52	"AEE788 is a potent inhibitor of EGFR and HER2/ErbB2 with IC50 of 2 nM and 6 nM, less potent to VEGFR2/KDR, c-Abl, c-Src, and Flt-1, does not inhibit Ins-R, IGF-1R, PKCÎ± and CDK1. Phase 1/2."	EGFR^ERBB2^KDR^ABL1^SRC^FLT1	0.9	1	0.2	0	0	very gravelly and some cell death but still has beating�	lots of dying cells
5	G_7	d40	d40	AEE788 (NVP-AEE788)	kinase	"HER2,VEGFR,EGFR"	52	"AEE788 is a potent inhibitor of EGFR and HER2/ErbB2 with IC50 of 2 nM and 6 nM, less potent to VEGFR2/KDR, c-Abl, c-Src, and Flt-1, does not inhibit Ins-R, IGF-1R, PKCÎ± and CDK1. Phase 1/2."	EGFR^ERBB2^KDR^ABL1^SRC^FLT1	1	1	0.2	0	0	very gravelly but still has beating�	lots of dying cells
6	G_6	d34	d34	Danusertib (PHA-739358)	kinase	"c-RET,FGFR,Bcr-Abl,Aurora Kinase"	61	"Danusertib (PHA-739358) is an Aurora kinase inhibitor for Aurora A/B/C with IC50 of 13 nM/79 nM/61 nM, modestly potent to Abl, TrkA, c-RET and FGFR1, and less potent to Lck, VEGFR2/3, c-Kit, CDK2, etc. Phase 2."	AURKA^AURKB^AURKC^ABL1^NTRK1^RET^FGFR1	1	0.3	0.2	0.5	1	looks ok	cells pulling apart from each other  some small blebs but good beating
7	G_5	d46	d46	DCC-2036 (Rebastinib)	kinase	Bcr-Abl	3	"DCC-2036 is a conformational control Bcr-Abl inhibitor for Abl1(WT) and Abl1(T315I) with IC50 of 0.8 nM and 4 nM, also inhibits SRC, LYN, FGR, HCK, KDR, FLT3, and Tie-2, and low activity to seen towards c-Kit. Phase 1/2."	ABL1^SRC^LYN^FGR^HCK^KDR^FLT3^TEK	1	0.5	0.1	0.2	1	looks ok	gravelly morphology and some beating
8	G_4	d50	d50	AZD4547	kinase	FGFR	2	"AZD4547 is a novel selective FGFR inhibitor targeting FGFR1/2/3 with IC50 of 0.2 nM/2.5 nM/1.8 nM, weaker activity against FGFR4, VEGFR2(KDR), and little activity observed against IGFR, CDK2, and p38. Phase 1/2."	FGFR1^FGFR2^FGFR3^FGFR4^KDR^IGF2^CDK2^MAPK14	1	0.5	0.5	0.5	1	looks fine with some blebs	one patch of low confluency some stringyness but mostly good
9	G_3	d39	d39	BX-912	kinase	PDK-1	200	"BX912 is a potent and specific PDK1 inhibitor with IC50 of 12 nM, 9- and 105- fold greater selectivity for PDK1 than PKA and PKC, respectively. In comparison to GSK3Î², selectivity for PDK1 is 600-fold."	PDK1^PRKACA^PRKACB	0.4	1	0	0	0	pretty messed up	almost all dead
10	G_2	d38	d38	CUDC-101	kinase	"HDAC,HER2,EGFR"	13	"CUDC-101 is a potent multi-targeted inhibitor against HDAC, EGFR and HER2 with IC50 of 4.4 nM, 2.4 nM, and 15.7 nM, and inhibits class I/II HDACs, but not class III, Sir-type HDACs. Phase 1."	EGFR^ERBB2^HDAC1^HDAC2^HDAC3^HDAC8^HDAC4^HDAC5^HDAC7^HDAC9^HDAC6^HDAC10	0.85	0.6	0	0.1	0.8	cells still alive but stringy and not beating	very stringy and very slow beats
11	F_2	d58	d58	CEP-32496	kinase	"CSF-1R,Raf"	2	"CEP-32496 is a highly potent inhibitor of BRAF(V600E/WT) and c-Raf with Kd of 14 nM/36 nM and 39 nM, also potent to Abl-1, c-Kit, Ret, PDGFRÎ² and VEGFR2, respectively; insignificant affinity for MEK-1, MEK-2, ERK-1 and ERK-2. Phase 1/2."	BRAF^RAF1^ABL1^KIT^RET^PDGFRA^KDR	1	0.2	0.4	0.5	1	looks ok	looks good
12	F_3	d49	d49	Sotrastaurin	kinase	PKC	1.5	"Sotrastaurin is a potent and selective pan-PKC inhibitor, mostly for PKCÎ¸ with Ki of 0.22 nM; inactive to PKCÎ¶. Phase 1/2."	PRKCA^PRKCB^PRKCG^PRKCE^PRKCD^PRKCZ^PRKCH^PRKCI^PRKCQ	1	0.3	0.4	0.6	1	looks ok	some blebs but good beating
13	F_4	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.2	0.8	0.6	1	looks good	looks good
14	F_5	d43	d43	Degrasyn (WP1130)	kinase	"DUB,Bcr-Abl"	1000	"WP1130 (Degrasyn) is a selective deubiquitinase (DUB: USP5, UCH-L1, USP9x, USP14, and UCH37) inhibitor and also suppresses Bcr/Abl, also a JAK2 transducer (without affecting 20S proteasome) and activator of transcription (STAT)."	USP5^UCHL1^USP9X^USP14^UCHL5^BCR^ABL1^JAK2	0.5	1	0	0	0	messed up	almost all dead
15	F_6	d45	d45	PP121	kinase	"DNA-PK,PDGFR,mTOR"	11	"PP-121 is a multi-targeted inhibitor of PDGFR, Hck, mTOR, VEGFR2, Src and Abl with IC50 of 2 nM, 8 nM, 10 nM, 12 nM, 14 nM and 18 nM, also inhibits DNA-PK with IC50 of 60 nM."	PDGFRA^PDGFRB^HCK^KDR^SRC^ABL1^MTOR^PRKDC	1	0.7	0.05	0.2	1	little beating and lots of small blebs but all still alive	many bleb and some beating
16	F_7	d52	d52	WHI-P154	kinase	"JAK,EGFR"	50	"WHI-P154 is a potent JAK3 inhibitor with IC50 of 1.8 Î¼M, no activity against JAK1 or JAK2, also inhibits EGFR, Src, Abl, VEGFR and MAPK, prevents Stat3, but not Stat5 phosphorylation."	JAK3^EGFR^SRC^ABL1^FLT1^MAPK1	1	0.3	0.5	0.4	1	one patch of cell loss but otherwise just some blebs and fine beating	
17	F_8	d37	d37	Regorafenib (BAY 73-4506)	kinase	"c-RET,VEGFR"	10	"Regorafenib (BAY 73-4506) is a multi-target inhibitor for VEGFR1, VEGFR2, VEGFR3, PDGFRÎ², Kit, RET and Raf-1 with IC50 of 13 nM/4.2 nM/46 nM, 22 nM, 7 nM, 1.5 nM and 2.5 nM, respectively."	FLT1^KDR^PDGFRA^KIT^RET^RAF1	1	0.3	0.4	0.3	1	looks ok	cells pulling apart from each other  some small blebs but good beating
18	F_9	d58	d58	CEP-32496	kinase	"CSF-1R,Raf"	2	"CEP-32496 is a highly potent inhibitor of BRAF(V600E/WT) and c-Raf with Kd of 14 nM/36 nM and 39 nM, also potent to Abl-1, c-Kit, Ret, PDGFRÎ² and VEGFR2, respectively; insignificant affinity for MEK-1, MEK-2, ERK-1 and ERK-2. Phase 1/2."	BRAF^RAF1^ABL1^KIT^RET^PDGFRA^KDR	1	0.1	0.4	0.6	1	looks good	one patch of low confluency but good
19	F_10	d54	d54	BAY 11-7082	kinase	"IÎºB/IKK,E2 conjugating"	5000	"BAY 11-7082 is a NF-ÎºB inhibitor, inhibits TNFÎ±-induced IÎºBÎ± phosphorylation with IC50 of 10 Î¼M."	NFKB1^NFKB2^RELA^RELB^REL	0.3	1	0	0	0	messed up	almost all dead
20	F_11	d39	d39	BX-912	kinase	PDK-1	200	"BX912 is a potent and specific PDK1 inhibitor with IC50 of 12 nM, 9- and 105- fold greater selectivity for PDK1 than PKA and PKC, respectively. In comparison to GSK3Î², selectivity for PDK1 is 600-fold."	PDK1^PRKACA^PRKACB	0.4	1	0	0	0	messed up	all dying
21	E_11	d43	d43	Degrasyn (WP1130)	kinase	"DUB,Bcr-Abl"	1000	"WP1130 (Degrasyn) is a selective deubiquitinase (DUB: USP5, UCH-L1, USP9x, USP14, and UCH37) inhibitor and also suppresses Bcr/Abl, also a JAK2 transducer (without affecting 20S proteasome) and activator of transcription (STAT)."	USP5^UCHL1^USP9X^USP14^UCHL5^BCR^ABL1^JAK2	0.4	1	0	0	0	messed up	almost all dying
22	E_10	d46	d46	DCC-2036 (Rebastinib)	kinase	Bcr-Abl	3	"DCC-2036 is a conformational control Bcr-Abl inhibitor for Abl1(WT) and Abl1(T315I) with IC50 of 0.8 nM and 4 nM, also inhibits SRC, LYN, FGR, HCK, KDR, FLT3, and Tie-2, and low activity to seen towards c-Kit. Phase 1/2."	ABL1^SRC^LYN^FGR^HCK^KDR^FLT3^TEK	1	0.3	0.05	0.1	1	little beating but cells look ok	good morphology and a little beating
23	E_9	d52	d52	WHI-P154	kinase	"JAK,EGFR"	50	"WHI-P154 is a potent JAK3 inhibitor with IC50 of 1.8 Î¼M, no activity against JAK1 or JAK2, also inhibits EGFR, Src, Abl, VEGFR and MAPK, prevents Stat3, but not Stat5 phosphorylation."	JAK3^EGFR^SRC^ABL1^FLT1^MAPK1	1	0.3	0.5	0.5	1	looks fine	some blebs but good beating
24	E_8	d36	d36	AT9283	kinase	"JAK,Aurora Kinase,Bcr-Abl"	10	"AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B, Abl(T315I). Phase 1/2."	JAK2^JAK3^AURKA^AURKB^ABL1	1	0.5	0	0.1	1	no beating but cells look mostly ok	some patches of cells pulling apart from each other and small blebs but overall ok
25	E_7	DMSOonly-control	DMSOonly-control	NA	NA	NA	NA	NA	NA	1	0.3	0.2	0.5	1	looks ok	one patch of low confluency but good
26	E_6	d47	d47	GSK2126458 (GSK458)	kinase	"PI3K,mTOR"	6	"GSK2126458 is a highly selective and potent inhibitor of p110Î±/Î²/Î´/Î³, mTORC1/2 with Ki of 0.019 nM/0.13 nM/0.024 nM/0.06 nM and 0.18 nM/0.3 nM, respectively. Phase 1."	MTOR^PIK3CA^PIK3CB^PIK3CG^PIK3CD^RICTOR	0.85	0.8	0.05	0.2	0.8	minimal motion and some cell death but most still alive	some beating but low confluency
